,lon,lat,res-25,res-77,res-136,res-201,res-273,res-353,res-442,res-541,res-650,res-772,res-907,res-1056,res-1223,res-1407,res-1612,res-1839,res-2092,res-2372,res-2683,res-3028,res-3411,res-3837,res-4309,res-4833,res-5414,res-6060,res-6776,res-7572,res-8455,res-9435,res-10523,res-11730,res-13071,res-14559,res-16210,res-18043,res-20078,res-22337,res-24844,res-27627,res-30716,res-34145,res-37951,res-42175,res-46865,res-52070,res-57847,res-64261,res-71379,res-79281,res-88052,res-97788,res-108595,res-120590,res-133905,res-148685,res-165090,res-183300,res-203513,res-225950,res-250854,res-278498,res-309183,neoFaults,archFaults,gairFaults,aster1-AlOH-cont,aster2-AlOH,aster3-FeOH-cont,aster4-Ferric-cont,aster5-Ferrous-cont,aster6-Ferrous-index,aster7-MgOH-comp,aster8-MgOH-cont,aster9-green,aster10-kaolin,aster11-opaque,aster12-quartz,aster13-regolith-b3,aster14-regolith-b4,aster15-silica,base16,dem17,dtb18,mag19-2vd,mag20-rtp,mag21-tmi,rad22-dose,rad23-k,rad24-th,rad25-u,grav26,archean27,geol28,random,deposit
0,139.1794355,-29.8776375,2.2135,2.2916,2.3263,2.3432,2.3547,2.3644,2.3725,2.3779,2.3793,2.3763,2.3703,2.3664,2.3737,2.3973,2.4286,2.4435,2.4101,2.3069,2.1655,2.1317,2.3004,2.6905,3.0444,3.2935,3.4375,3.4749,3.438,3.3714,3.2965,3.218,3.1365,3.0507,2.9586,2.8598,2.7559,2.6515,2.5528,2.4668,2.4003,2.3591,2.3473,2.368,2.4228,2.5103,2.6238,2.7503,2.8733,2.9776,3.0514,3.0883,3.0866,3.0485,2.9788,2.8831,2.7672,2.637,2.4993,2.3616,2.2325,2.1204,2.0316,1.968,1.9274,0.010691072793081171,0.2586428621020507,2.460862156993168,2.081465482711792,1.0882620811462402,1.9585169553756714,1.5074422359466553,0.879882276058197,0.862001895904541,1.0598137378692627,1.0033892393112183,1.224794626235962,0.9221556186676025,-9999.0,0.5117099285125732,0.8397009372711182,1.2624657154083252,1.1591628789901733,163.71603393554688,179.4704132080078,-48.23289489746094,1.9368439097888768e-05,-282.602783203125,-103.81596374511719,53.31435012817383,1.3266067504882812,13.133085250854492,77.59248352050781,1.6566886901855469,19214,8602,-999.0,1
1,138.8087675,-30.0862964,2.3643,2.4819,2.5282,2.5482,2.5608,2.5713,2.5803,2.5875,2.5924,2.5948,2.5946,2.592,2.5879,2.5839,2.5829,2.587,2.5924,2.5827,2.5313,2.4218,2.2102,1.9026,1.6554,1.7149,1.9537,2.1425,2.2281,2.4442,2.7605,2.999,3.1367,3.2011,3.2169,3.1988,3.1555,3.0949,3.0267,2.963,2.9157,2.8925,2.8949,2.9186,2.9554,2.997,3.0364,3.069,3.0919,3.1028,3.0995,3.0792,3.0387,2.9752,2.8872,2.7755,2.6432,2.4966,2.3449,2.1999,2.0738,1.976,1.9103,1.8741,1.8604,0.10374064416289676,0.45032414154201394,2.0371905213501385,2.0178608894348145,1.13320791721344,2.034297227859497,1.3309457302093506,0.9652681350708008,0.9060417413711548,1.0223444700241089,1.033826231956482,1.3575652837753296,0.9041450619697571,-9999.0,0.5083421468734741,0.9439882040023804,1.2535611391067505,1.1014580726623535,176.944580078125,176.30731201171875,-2.7201056480407715,-1.0533725799177773e-05,-276.69268798828125,-203.4934539794922,57.42498779296875,1.5050806999206543,10.301061630249023,65.9720458984375,-12.40481185913086,19218,6658,999.0,1
2,138.7522805,-30.4456844,2.1141,2.1535,2.171,2.1804,2.1879,2.1954,2.2035,2.2124,2.2224,2.2335,2.2462,2.2605,2.2764,2.2934,2.3107,2.3269,2.3392,2.3438,2.3349,2.3058,2.2512,2.1776,2.126,2.1643,2.2668,2.3732,2.4798,2.6214,2.7881,2.9472,3.0871,3.2031,3.2881,3.333,3.3323,3.2885,3.2126,3.1203,3.0266,2.9433,2.8777,2.8339,2.8122,2.8102,2.8223,2.8406,2.8552,2.8556,2.8312,2.7726,2.6735,2.5327,2.3548,2.1491,1.9293,1.7166,1.543,1.4399,1.4163,1.4535,1.5235,1.6036,1.6802,0.006659403580910924,0.518129033967436,1.7991047197223318,2.0104129314422607,1.143119215965271,2.05311918258667,1.4571963548660278,0.8890234231948853,0.8890234231948853,1.0029739141464233,1.0690784454345703,1.2532931566238403,0.9418295621871948,0.6369835734367371,0.5059776306152344,0.874104380607605,1.2612290382385254,1.054574966430664,423.2965393066406,426.4547119140625,-2.486387014389038,-3.983483475167304e-05,-478.7665100097656,-167.31927490234375,94.6601333618164,2.5684902667999268,20.143123626708984,85.11516571044922,-6.649049282073975,19218,15524,-999.0,1
3,138.5305055,-30.5332254,2.2234,2.3151,2.3644,2.3946,2.4182,2.4402,2.4621,2.4846,2.5077,2.5318,2.5571,2.584,2.6129,2.6441,2.6784,2.7165,2.7593,2.8067,2.8578,2.9097,2.9565,2.9902,3.0053,3.007,3.0028,2.9874,2.9504,2.9069,2.8709,2.8441,2.8183,2.7754,2.705,2.6156,2.5248,2.445,2.3782,2.3186,2.2606,2.2047,2.1567,2.1264,2.125,2.1625,2.2437,2.3629,2.5024,2.6358,2.733,2.7658,2.7153,2.5786,2.3692,2.1099,1.8253,1.545,1.3141,1.1861,1.1822,1.2715,1.4011,1.5313,1.6429,0.013925359938719973,0.3652943017624994,1.5623443337482383,2.0050930976867676,1.0071040391921997,1.957148551940918,1.3946115970611572,0.9234177470207214,0.9234177470207214,1.0831853151321411,1.0527011156082153,1.2630162239074707,0.9665073156356812,-9999.0,0.506754994392395,0.8311638832092285,1.1592659950256348,1.0585284233093262,337.27630615234375,335.668212890625,-9999.0,7.2659140641917475e-06,-295.7977294921875,-131.73175048828125,73.58090209960938,2.218921184539795,14.252978324890137,68.10778045654297,-11.395280838012695,19218,15524,-999.0,1
4,138.8870185,-30.5654795,2.1982,2.2647,2.2899,2.2987,2.3022,2.3038,2.3039,2.3022,2.2986,2.2929,2.285,2.2749,2.2628,2.2487,2.2327,2.2148,2.1945,2.1705,2.1394,2.0949,2.0244,1.9078,1.7237,1.4561,1.0849,0.6632,0.4105,0.5739,1.0483,1.5581,1.966,2.2539,2.4454,2.5681,2.6443,2.691,2.7215,2.7454,2.769,2.7955,2.825,2.8558,2.8845,2.9057,2.9121,2.8961,2.8515,2.7739,2.6608,2.5109,2.3253,2.1073,1.8626,1.6005,1.3421,1.1304,1.0193,1.0303,1.1316,1.2697,1.4072,1.529,1.6309,0.007356262640422581,0.46495684723113884,1.8674834672666782,1.971095323562622,1.1445883512496948,2.087421417236328,1.6614160537719727,0.8505810499191284,0.8505810499191284,1.0022976398468018,1.0704892873764038,1.3565797805786133,0.9497555494308472,-9999.0,0.5078943371772766,0.8138570785522461,1.3490352630615234,1.0712392330169678,543.31640625,547.1923828125,-9999.0,4.485328645387199e-06,-526.0438842773438,-194.104736328125,70.93915557861328,1.90784752368927,10.630254745483398,73.48628234863281,-1.2738823890686035,19218,13222,-999.0,1
5,138.3609045,-30.4854964,2.0959,2.1257,2.1334,2.1317,2.1262,2.1181,2.1072,2.0928,2.0739,2.0495,2.0186,1.9798,1.9323,1.8759,1.8117,1.7432,1.6736,1.6021,1.5208,1.4138,1.2592,1.0397,0.7722,0.5423,0.4858,0.6857,1.103,1.6318,2.1662,2.6317,2.9804,3.1778,3.218,3.1377,2.995,2.8392,2.6962,2.5681,2.4437,2.311,2.1628,2.003,1.8511,1.7435,1.7219,1.8088,1.9919,2.2303,2.4695,2.6526,2.733,2.6888,2.5299,2.2881,2.0001,1.7003,1.4307,1.2473,1.1925,1.2554,1.3824,1.5214,1.643,0.07664779739837073,0.20612670801598432,1.442057318177379,1.9912514686584473,1.1169289350509644,2.050931453704834,1.5095282793045044,0.9341624975204468,0.9341624975204468,1.0124907493591309,1.072750210762024,1.266984224319458,0.951924204826355,-9999.0,0.5057499408721924,0.7920876741409302,1.1956442594528198,1.0832229852676392,217.370361328125,216.74212646484375,-16.270938873291016,-2.0581192075042054e-05,-228.7711181640625,-126.14691162109375,66.33250427246094,1.7196440696716309,13.275300979614258,65.61239624023438,-17.72259521484375,19218,15524,999.0,1
6,138.7092745,-30.4860694,2.1484,2.2008,2.2253,2.2398,2.252,2.2648,2.2789,2.2949,2.3133,2.3347,2.3596,2.3887,2.4224,2.4606,2.5033,2.5494,2.5974,2.6442,2.6857,2.7159,2.7282,2.7179,2.6916,2.6677,2.6346,2.583,2.552,2.6013,2.7105,2.8218,2.91,2.9693,2.9986,2.998,2.9701,2.9212,2.8612,2.8008,2.7496,2.7151,2.701,2.7078,2.7326,2.7698,2.811,2.8463,2.8648,2.8561,2.8104,2.7204,2.5829,2.4005,2.181,1.9358,1.681,1.4453,1.2736,1.2037,1.2335,1.3255,1.4395,1.5506,1.6475,0.052219751503616386,0.5439223281763558,1.742282147336759,1.9994747638702393,1.0960384607315063,2.0749433040618896,1.5014784336090088,0.7988442778587341,0.8652384281158447,1.0324345827102661,1.0742164850234985,1.4058585166931152,1.0068894624710083,-9999.0,0.5049258470535278,0.8567004203796387,1.2759718894958496,1.0435450077056885,469.6031494140625,475.33184814453125,-0.9101362824440002,3.0732503546460066e-06,-475.643798828125,-171.7366943359375,30.43555450439453,1.1239993572235107,5.822245121002197,60.193077087402344,-7.110147476196289,19218,15524,-999.0,1
7,138.7029815,-30.5056234,2.1484,2.2008,2.2253,2.2398,2.252,2.2648,2.2789,2.2949,2.3133,2.3347,2.3596,2.3887,2.4224,2.4606,2.5033,2.5494,2.5974,2.6442,2.6857,2.7159,2.7282,2.7179,2.6916,2.6677,2.6346,2.583,2.552,2.6013,2.7105,2.8218,2.91,2.9693,2.9986,2.998,2.9701,2.9212,2.8612,2.8008,2.7496,2.7151,2.701,2.7078,2.7326,2.7698,2.811,2.8463,2.8648,2.8561,2.8104,2.7204,2.5829,2.4005,2.181,1.9358,1.681,1.4453,1.2736,1.2037,1.2335,1.3255,1.4395,1.5506,1.6475,0.07102482538948536,0.5395685558428833,1.7277716217653123,1.9665746688842773,1.139120101928711,2.1058263778686523,1.1976282596588135,0.9373776912689209,0.9015142917633057,0.9711316227912903,1.084065556526184,1.3747003078460693,0.944676399230957,0.608673095703125,0.5079742670059204,1.0566092729568481,1.265568733215332,1.066307783126831,483.049560546875,476.7132568359375,-9999.0,-0.0001195804652525112,-469.20611572265625,-132.0820770263672,74.53550720214844,1.947482705116272,16.808048248291016,72.64920806884766,-5.981695175170898,19218,15524,999.0,1
8,138.5963485,-30.4725024,2.1543,2.2247,2.2668,2.2952,2.3192,2.3432,2.369,2.3974,2.4291,2.4648,2.505,2.5505,2.6017,2.6593,2.7233,2.7939,2.8705,2.9515,3.0341,3.1135,3.1826,3.2338,3.2641,3.2777,3.2694,3.2292,3.1665,3.1171,3.0862,3.058,3.0255,2.9825,2.9244,2.8527,2.7731,2.6919,2.614,2.5424,2.4808,2.4341,2.4079,2.4067,2.433,2.4862,2.561,2.6471,2.7291,2.7886,2.8071,2.7689,2.665,2.4973,2.277,2.0207,1.7477,1.4867,1.2834,1.1851,1.201,1.2947,1.4184,1.5401,1.6448,0.025207358579787578,0.43025761644312943,1.649442766600881,1.9104684591293335,-9999.0,2.0940849781036377,1.3720115423202515,0.8634705543518066,0.8388916254043579,1.0165259838104248,1.0981690883636475,1.401373028755188,0.9686179757118225,-9999.0,0.5002909898757935,0.9862043857574463,1.3512518405914307,1.0258359909057617,398.6713562011719,397.74395751953125,-9999.0,6.008382115396671e-06,-396.8489990234375,-153.23374938964844,29.37653350830078,0.4224322736263275,6.346080780029297,60.59862518310547,-13.024175643920898,19218,15524,-999.0,1
9,139.2192784,-31.5100885,2.1916,2.2825,2.3334,2.3629,2.3841,2.403,2.4213,2.4395,2.4576,2.4757,2.4934,2.5101,2.5262,2.543,2.5627,2.5867,2.6134,2.6382,2.6629,2.6822,2.6662,2.5767,2.4097,2.2824,2.356,2.6109,2.9135,3.1821,3.3979,3.5549,3.6408,3.6472,3.5804,3.4606,3.3118,3.1522,2.9894,2.8222,2.645,2.4539,2.255,2.0726,1.95,1.9291,2.0162,2.1744,2.352,2.5098,2.6287,2.705,2.7449,2.7581,2.7545,2.7415,2.7216,2.693,2.6503,2.5873,2.5004,2.3921,2.2716,2.1531,2.0503,0.0332586885601202,0.14295959044257295,1.7959089001297257,2.0250234603881836,1.0979211330413818,1.982494592666626,1.2858587503433228,0.9074572324752808,0.9074572324752808,1.057504653930664,1.0298264026641846,1.325519323348999,0.9437897801399231,-9999.0,0.5089739561080933,0.940919041633606,1.209883213043213,1.1135540008544922,153.5067138671875,153.29006958007812,-9999.0,4.2998353819712065e-06,255.37310791015625,82.0093002319336,49.24060821533203,1.2069692611694336,9.775199890136719,63.736534118652344,-18.61220932006836,19218,15524,-999.0,1
